Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginCorretta,,,2019-02-28 15:50:37,2019-02-28 15:52:07,"1m - 29,756s",FAILED
,,,,,,
Test Cases/Utilites/Utilities_2_FUNCTIONALITY_StartAppUnLogged,,,2019-02-28 15:50:37,2019-02-28 15:51:02,"24,387s",FAILED
startApplication,,Start application,2019-02-28 15:50:38,2019-02-28 15:51:01,"23,539s",PASSED
waitForElementPresent,,Check label Benvenuti in MySkyApp,2019-02-28 15:51:01,2019-02-28 15:51:02,"0,474s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_Accedi,,Tap su accedi,2019-02-28 15:51:02,2019-02-28 15:51:02,"0,256s",FAILED
waitForElementPresent,,Check label Benvenuti in MySkyApp,2019-02-28 15:51:02,2019-02-28 15:51:02,"0,021s",FAILED
,,,,,,
Test Cases/Login/Login_1_LOGIN_Correct,,,2019-02-28 15:51:02,2019-02-28 15:52:06,"1m - 4,281s",FAILED
tap,,,2019-02-28 15:51:03,2019-02-28 15:52:06,"1m - 3,743s",FAILED
